5000,"Origins of the East German Environmental Movement",0149-7952,"Jones, Merrill E.","History/Environmental History/Environmental Movements and Civil Society/Local Activism           "
5001,"Patrons, Clients and Civil Society: A Case Study of Environmental Politics in Postwar Lebanon",0271-3519,"Kingston, Paul","History/Environmental History/Environmental Movements and Civil Society/Local Activism           "
5002,"Environmental Movement in Korea and Its Political Empowerment",0023-3900,"Lee, See-jae","History/Environmental History/Environmental Movements and Civil Society/Local Activism           "
5003,"Deforestation and Popular Resistance in Acre: From Local Social Movement to Global Network",1532-687X,"Schwartzman, Stephan","History/Environmental History/Environmental Movements and Civil Society/Local Activism           "
5004,"The Rise of Environmentalism in Australia",0726-7215,"Young, Liz","History/Environmental History/Environmental Movements and Civil Society/Local Activism           "
5005,"Environmental Justice, Native Rights, Tourism, and Opposition to Military Control: The Case of Kaho'olawe",0021-8723,"Blackford, Mansel G.","History/Environmental History/Environmental Justice           "
5006,"On Their Own: Development Strategies of the Self-Employed Women's Association (SEWA) in India",1011-6370,"Datta, Rekha","Economics/Development/Women and Children/Labor Issues           "
5007,"The Impact of Modern Times",0-631-16178-3,"Roberts, Neil","History/Environmental History/Environmental Destruction           "
5008,"The Impact of the Coal Age on the German Environment: A Review of the Historical Literature",0967-3407,"Cioc, Mark","History/Environmental History/Minerals and Mining           "
5009,"Inequality and Poverty",0674452550,"Sen, Amartya","Economics/Growth, Allocation and Distribution/Poverty/Concepts and Measurement           "
5010,"Mining and the Environment",0-87371-4415,"Sengupta, Mritunjoy","History/Environmental History/Minerals and Mining           "
5011,"Environment and Society: Long-Term Trends in Latin American Mining",0967-3407,"Dore, Elizabeth","History/Environmental History/Minerals and Mining           "
5012,"The Anthropology of Oil: The Impact of the Oil Industry on a Fishing Community in the Niger Delta",1043-1578,"Fentiman, Alicia","History/Environmental History/Minerals and Mining           "
5013,"Causes of Short Stature Among Coalmining Children, 1823-1850",0013-0117,"Kirby, Peter","History/Environmental History/Minerals and Mining           "
5014,"Gardener's Delight",0195-2633,"Bracegirdle, Cyril","History/Environmental History/Gardens, Parks, and Zoos/Gardens           "
5015,"A Garden Enclosed: Botanical Barter in Sydney, 1818-39",0007-0874,"Endersby, Jim","History/Environmental History/Gardens, Parks, and Zoos/Gardens           "
5016,"The History of Moutoa Gardens and Claims of Ownership",0032-4000,"Moon, Paul","History/Environmental History/Gardens, Parks, and Zoos/Gardens           "
5017,"Ethics and Morality, Questions in the History of Garden and Landscape Design: A Preliminary Essay",0144-5170,"Wolschke-Bulmahn, Joachim","History/Environmental History/Gardens, Parks, and Zoos/Gardens           "
5018,"Conservation and Landscape Transformation in Sonora, Mexico",0894-8410,"Burquez, Alberto; Martinez-Yrizar, Angelina","History/Environmental History/Gardens, Parks, and Zoos/Parks and Zoos           "
5019,"Zoo Story",1048-4949,"Marshall, Anthony D.","History/Environmental History/Gardens, Parks, and Zoos/Parks and Zoos           "
5020,"Creating the Garden City: The Singapore Experience",0042-0980,"Yuen, Belinda","History/Environmental History/Gardens, Parks, and Zoos/Parks and Zoos           "
5021,"Environmental Intervention and Water Resource Management in the History of the Mezzogiorno",1353-2944,"Bevilacqua, Piero","History/Environmental History/Water           "
5022,"Fishing Farmers or Farming Fishermen? The Quest for Household Income and Nutritional Security on the Kenyan Shores of Lake Victoria",0001-9909,"Geheb, Kim; Binnis, Tony","History/Environmental History/Water           "
5023,"Environmental Concerns: Kalabagh Dam and Sindh-Punjab Water Dispute in Pakistan",1044-2979,"Laghari, Javaid R.","History/Environmental History/Water           "
5024,"Lake Victoria: Casualty of Capitalism",0027-0520,"MacDougall, A. Kent","History/Environmental History/Water           "
5025,"Policy Response to Poverty and Inequality in the Developing World",0251-2920,"Berry, Albert","Economics/Growth, Allocation and Distribution/Poverty/Poverty Alleviation           "
5026,"Further Reflections on Amazonian Environmental History: Transformations of Rivers and Streams",0023-8791,"Raffles, Hugh; WinklerPrins, Antoinette M. G. A.","History/Environmental History/Water           "
5027,"Central Asia's Dead Sea",0739-1854,"Schaar, Elisa","History/Environmental History/Water           "
5028,"The Environmental Consequences of Independence and Socialism in North Pare, Tanzania, 1961-88",0021-8537,"Sheridan, Michael J.","History/Environmental History/Water           "
5029,"Aquatic Ecotoxicity Due to Oil Pollution in the Ecuadorian Amazon",1463-4988,"Wernersson, Ann-Sofie","History/Environmental History/Water           "
5030,"Poverty Reduction with Growth and Redistribution",0012-155X,"Dagdeviren, Hulya; Van der Hoeven, Rolph; Weeks, John","Economics/Growth, Allocation and Distribution/Poverty/Poverty Alleviation           "
5031,"The Paradox of Redistribution and Strategies of Equality: Welfare State Institutions, Inequality, and Poverty in the Western Countries",0003-1224,"Korpi, Walter; Palme, Joakim","Economics/Growth, Allocation and Distribution/Poverty/Poverty Alleviation           "
5032,"Revisiting Growth and Poverty Reduction in Indonesia: What Do Subnational Data Show?",1655-5252,"Balisacan, Arsenio M.; Pernia, Ernesto M.; Asra, Abuzar","Economics/Growth, Allocation and Distribution/Poverty/Poverty and Economic Growth           "
5033,"Latin America: Poverty as a Challenge for Government and Society",8200226492,"Golbert, Laura; Kessler, Gabriel","Economics/Growth, Allocation and Distribution/Poverty/Poverty and Inequality           "
5034,"Livelihoods and Poverty: The Role of Migration: A Critical Review of the Migration Literature",0022-0388,"De Haan, Arjan","Economics/Development/Population and Quality of Life/Migration           "
5035,"The Great Chain of Poverty Explanations",8200226492,"Miller, S. M.","Economics/Growth, Allocation and Distribution/Poverty/Poverty and Inequality           "
