4000,"A Socio-institutionalist Critique of the 1990s' Reforms of the United Kingdom's National Health Service",0034-6764,"McMaster, Dr. Robert","Economics/WellBeing/Human Development/Health and Welfare           "
4001,"Sen's Capability Approach and the Many Spaces of Human Well-Being",0022-0388,"Clark, David A.","Economics/WellBeing/Human Development/Human Functioning           "
4002,"Human Well-Being: A New Approach Based on Overall and Ordinary Functionings",0034-6764,"Tomer, John F.","Economics/WellBeing/Human Development/Human Functioning           "
4003,"Banking Sector Policies and Financial Development in Nepal",0305-9049,"Demetriades, Panicos O.; Luintel, Kul B.","Economics/Growth, Allocation and Distribution/Factors of Growth/Finance           "
4004,"The Neglected Realm of Social Society: The Ambiguity of Economic Output",0674813650,"Hirsch, Fred","Economics/WellBeing/Government and WellBeing           "
4005,"Health and Development in South Africa: From principles to practice",1011-6370,"Johns, Desmond","Economics/WellBeing/Government and WellBeing           "
4006,"Towards an Economics of Happiness",99936-14-19-X,"Norberg-Hodge, Helena; Gorelick, Steven","Economics/WellBeing/Government and WellBeing           "
4007,"Deprivation of Basic Needs and Social Inequality",0020-7659,"Janicka, Krystyna","Economics/WellBeing/Government and WellBeing           "
4008,"Liberty and poverty: political rights and economics",0011-3131,"Sen, Amartya","Economics/WellBeing/Government and WellBeing           "
4009,"What Happened to the Women's Movement?",0027-0520,"Epstein, Barbara","Economics/WellBeing/Government and WellBeing           "
4010,"Post-Colonialism and the Political Imagination",1359-0987,"Spencer, Jonathan","Anthropology/Methods and Approaches/PostColonialism and Subaltern Views           "
4011,"Muslim Child Disciples, Global Civil Society, and Children's Rights in Senegal: the discourses of strategic structuralism.",0003-5491,"Peery, Donna L.","Economics/WellBeing/Government and WellBeing           "
4012,"Armaments",0521295890,"Robinson, Joan","Economics/WellBeing/Government and WellBeing           "
4013,"Guns Versus Butter: The Indirect Link",0092-5853,"Mintz, Alex; Huang, Chi","Economics/WellBeing/Government and WellBeing           "
4014,"Cyberpsychology, Human Relationships, and Our Virtual Interiors",0591-2385,"Teske, John A.","Economics/WellBeing/Government and WellBeing           "
4015,"The Market versus the State: The Chinese Press since Tiananmen",0022-197X,"Xiaogang, Zhan","Economics/WellBeing/Government and WellBeing           "
4016,"Groping Toward Ethics in Transitioning Press Systems: The Case of Romania",0890-0523,"Starck, Kenneth","Economics/WellBeing/Government and WellBeing           "
4017,"The Press, the Market, and Democracy",0021-9916,"Sparks, Colin","Economics/WellBeing/Government and WellBeing           "
4018,"Dividends of Peace: The Economics of Peacekeeping",0022-197X,"Coicaud, Jean-Marc; Hentges, Harriet","Economics/WellBeing/Government and WellBeing           "
4019,"Theory and Policy in Response to 'Leaden Age' Financial Instability: Comment on Felix",0160-3477,"Pollin, Robert","Economics/Growth, Allocation and Distribution/Factors of Growth/Finance           /           /Economics/Economic Policy/Financial Crises and Recovery Efforts"
4020,"Maximum Security",1043-1578,"Kirk, Gwyn; Okazawa-Rey, Margo","Economics/WellBeing/Government and WellBeing           "
4021,"Feminism and Peace: Seeing Connections",0887-5367,"Warren, Karen J.; L. Cady, Duane","Economics/WellBeing/Government and WellBeing           "
4022,"Economists' Views on the Costs of War (Part II)",NO ISBN FOUND,"Rose, Morgan","Economics/WellBeing/Government and WellBeing           "
4023,"Some Economic Consequences of the Transition From Civil War to Peace",NO ISBN FOUND,"Azam, Jean-Paul; Bevan, David; Collier, Paul; Dercon, Stefan; Gunning, Jan; Pradhan, Sanjay","Economics/WellBeing/Government and WellBeing           /           /Economics/Growth, Allocation and Distribution/War and Military Spending"
4024,"The Social Contract and Well-Being in the USSR: A Comparison of Central Asia, Kazakhstan, and the Donets-Dnieper Region",1060-5851,"Hamilton, Ellen","Economics/WellBeing/Government and WellBeing           "
4025,"Disablement, Prison, and Historical Segregation",0027-0520,"Russell, Marta; Stewart, Jean","Economics/WellBeing/Government and WellBeing           "
4026,"The European Social Contract and the European Public Sphere",13515993,"Bredt, Stephan","Economics/WellBeing/Government and WellBeing           "
4027,"Child Care Subsidies, Welfare Reforms, and Lone Mothers",0019-8676,"Cleveland, Gordon; Hyatt, Douglas","Economics/WellBeing/The Economy and WellBeing           "
4028,"The Limitless Growth Assumption",0020-8701,"Comeliau, Christian","Economics/Development/Sustainability/Growth vs. Development           "
4029,"Distributive Impact of Czech Social Security and Tax Systems: Dynamics in Early 2000s",1210-0455,"Schneider, Ondrej; Jelinek, Tomas","Economics/WellBeing/The Economy and WellBeing           "
4030,"Welfare to Well-Being Framework for Research, Education, and Outreach",0022-0078,"Bauer, Jean W.; Braun, Bonnie; Olson, Patricia D.","Economics/WellBeing/The Economy and WellBeing           "
4031,"The State and the Individual",0313236976,"Myrdal, Gunnar","Economics/WellBeing/The Economy and WellBeing           "
4032,"Social Impacts and Social Responsibilities: Management and the Quality of Life",0887306152,"Drucker, Peter F.","Economics/WellBeing/The Economy and WellBeing           "
4033,"Rising Stress, Declining Health: Invisible Costs of the Workplace",0865712662,"Brandt, Barbara","Economics/WellBeing/The Economy and WellBeing           "
4034,"Labor Markets, Social Justice and Economic Efficiency",0309-166X,"Kitson, Michael; Martin, R.; Wilkinson, F.","Economics/WellBeing/Theory and Justice           "
4035,"Economic Theories of Social Justice: Risk, Value and Externality",NO ISBN FOUND,"De Jasay, Anthony","Economics/WellBeing/Theory and Justice           "
4036,"Gender and Inequality",0674452550,"Sen, Amartya","Economics/WellBeing/The Economy and WellBeing           "
4037,"Rawlsian Justice and the Political Conception",0674452550,"Sen, Amartya","Economics/WellBeing/The Economy and WellBeing           "
4038,"Markets and Freedoms: Achievements and Limitations of the Market Mechanism in Promoting Individual Freedom",0030-7653,"Sen, Amartya","Economics/WellBeing/The Economy and WellBeing           "
4039,"Social Costs in Modern Capitalism",0898625947,"Beckenbach, Frank","Economics/WellBeing/The Economy and WellBeing           "
4040,"A New Meaning of Economic Choice: Modes of Empowerment",0865712662,"Brandt, Barbara","Economics/WellBeing/The Economy and WellBeing           "
4041,"The Commercialization Bias: The New Commodity Fetishism",0674813650,"Hirsch, Fred","Economics/WellBeing/The Economy and WellBeing           "
4042,"Will Money Increase Subjective Well-being? A Literature Review and Guide to Needed Research",0303-8300,"Diener, Ed; Biswas-Diener, Robert","Economics/WellBeing/The Economy and WellBeing           /           /Philosophy/WellBeing/Concepts of WellBeing/Objective and Subjective Accounts"
4043,"Money as an Addictive Substance",0865712662,"Brandt, Barbara","Economics/WellBeing/The Economy and WellBeing           "
4044,"Hospitality versus Exchange: The Limits of Monetary Economies",0034-6764,"Bell, Stephanie; Henry, John F.","Economics/WellBeing/The Economy and WellBeing           "
4045,"Welfare and Distribution: The Place of Economic Welfare in Human Welfare",0814778623,"Scitovsky, Tibor","Economics/WellBeing/The Economy and WellBeing           "
4046,"Democracy, Social Relations and Ecowelfare",0144-5596,"Hoggett, Paul","Economics/WellBeing/Visions of a Good Life           "
4047,"From Pavement to Piazza: Grassroots Social Work to Counteract the Globalization of Marginality",0144-5596,"Ferraro, Ermete","Economics/WellBeing/Visions of a Good Life           "
4048,"Ethics versus Economics? A proposal for a Humanistic Enterprise",0260-4027,"Di Gennaro, Maurizio","Economics/WellBeing/Visions of a Good Life           "
4049,"Trade, Development, and the Broken Promise of Interdependence: A Buddhist Reflection on the Possibility of Post-Market Economics",99936-14-19-X,"Heshock, Peter D.","Economics/WellBeing/Visions of a Good Life           "
4050,"Growth, Income Distribution and Well-Being in Transition Countries",0967-0750,"Grun, Carola; Klasen, Stephan","Economics/WellBeing/Wealth and Poverty           /           /Economics/Globalization/Economic Transitions"
4051,"Impacts of Regional Development Strategies on Growth and Equity of Korea: A Multiregional CGE Model",0570-1864,"Kim, Euijune; Kim, Kabsung","Economics/Growth, Allocation and Distribution/Factors of Growth/Investment           "
4052,"A Behavioral Analysis of the Subsistence Standard of Living",0309-166X,"Sharif, Mohammed","Economics/WellBeing/Wealth and Poverty           "
4053,"Stabilization of the economy and social contrasts",1061-1991,"Sukhotin, Iurii","Economics/WellBeing/Wealth and Poverty           "
