2000,"Psychology and Sustainability: An Introduction",0022-4537,"McKenzie-Mohr, Doug; Oskamp, Stuart","Economics/Development/Sustainability/Growth vs. Development           "
2001,"Reevaluating Union Policy toward White-Collar Home-Based Work",0875463002,"Christensen, Kathleen E.","Economics/Growth, Allocation and Distribution/Labor and Employment/Theory and Practice           "
2002,"Toward Post-Lean Production",0875463177,"Berggren, Christian","Economics/Growth, Allocation and Distribution/Industrial Relations/Production Systems           "
2003,"Alternative Models of Production",0875463193,"Appelbaum, Eileen; Batt, Rosemary","Economics/Growth, Allocation and Distribution/Industrial Relations/Production Systems           "
2004,"Sustainable Agriculture",014026616X,"Conway, Gordon","Economics/Development/Sustainability/Policy, Politics and Theory           "
2005,"From Political Economy to Political Ecology",185383324X,"Martinez-Alier, Juan","Economics/WellBeing/Evaluation of WellBeing           "
2006,"Demedicalization and Possibilities for Health",0710209460,"McKnight, John","Economics/Development/Poverty and Inequality/Basic Needs           "
2007,"Recycling, Thermodynamics, and Environmental Thrift",0096-3402,"Berry, R. Stephen","Economics/Economic Policy/Environment/Theory and Policy Analysis           "
2008,"Energy and Money",0070475105,"Odum, Howard; Odum, Elizabeth","Economics/Economics as a Social Science/Capitalism and Culture/Capitalism           "
2009,"Sustaining Livelihoods on Mongolia's Pastoral Commons: Insights from a Participatory Poverty Assessment",0012-155X,"Mearns, Robin","Economics/Development/Community, Participation and Human Development           "
2010,"Global Commons: Site of Peril, Source of Hope",0305-750X,"Goodwin, Neva R.","Economics/Globalization/Global Environmental Issues/International Issues           /           /GDAE/Economics as a Social Science"
2011,"Westernizing the Third World",0415118298,"Mehmet, Ozay","Economics/Development/Development Theory and Critique/Theory           "
2012,"Green Accounting and Economic Policy",0921-8009,"El Serafy, Salah","Economics/Economic Policy/Environment/Valuation           "
2013,"Sustainable Development: A Critical Review",0305-750X,"LeLe, Sharachchandra M.","Economics/Development/Sustainability/Definitions           "
2014,"The Convergence of Neo-Ricardian and Embodied Energy Theories of Value and Price",0921-8009,"Judson, D. H.","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Ecological/ Sustainability Approach           "
2015,"Poverty of Nations: The Eurocentric Bias of Developmental Economics",0739-1854,"Mehmet, Ozay","Economics/Development/Sustainability/Policy, Politics and Theory           "
2016,"Biophysical and Marxist Economics: Learning From Each Other",0304-3800,"Kaufman, Robert","Economics/Economics as a Social Science/Economic Ideas/Marx and Marxism           "
2017,"Project Evaluation and Sustainable Development",1559631996,"Mikesell, Raymond F.","Economics/Development/Methodology of Development Economics           "
2018,"People and Environment: What Is the Relationship between Exploitation of Natural Resources and Population Growth in the South?",0803-9410,"Scherr, Sara J.","Economics/Development/Population and Quality of Life/Environment           "
2019,"From Class Struggle to Class Compromise: Redistribution and Growth in a South Indian State",0022-0388,"Heller, Patrick","Economics/Economic Policy/Development Policy           "
2020,"The Marginalization of Black Men: Impact on Family Structure",0815311419,"Darity Jr., William A.; Myers Jr., Samuel L.","Economics/Growth, Allocation and Distribution/Economics of Discrimination           "
2021,"The Dark Side of Flexible Production",1572302526,"Harrison, Bennett","Economics/Growth, Allocation and Distribution/Labor and Employment/Wages           "
2022,"Views from the Periphery: Encountering Development",1572303247,"Porter, Philip W.; Sheppard, Eric S.","Economics/Development/Development Theory and Critique/Theory           "
2023,"Sociotechnical Organizational Change: Technological and Organizational Coevolution",0875467067,"Mathews, John A.","Economics/Growth, Allocation and Distribution/Industrial Relations/Production Systems           "
2024,"The Economics of Justice in Education",0887305040,"Levin, Henry M.","Economics/Economic Policy/Fiscal Policy/Social/Political Issues           "
2025,"Management Compensation Plans: Panacea or Placebo?",0071033106,"Jacobs, Michael","Economics/Growth, Allocation and Distribution/Industrial Relations/Ownership and Management           "
2026,"The European Commission Perspective on Rural Development: Integrating New Trends into Multi-sectoral Approaches",0950-6764,"Mikos, Philip","Economics/Development/Poverty and Inequality/Alleviation of Poverty  Programs and Policies           "
2027,"The Neglected Realm of Social Scarcity",0674813650,"Hirsch, Fred","Economics/WellBeing/Consumption and WellBeing           "
2028,"Social Limits to Growth: The Commercialization Bias",0674813650,"Hirsch, Fred","Economics/WellBeing/The Economy and WellBeing           "
2029,"A Reformulation of the Theory of Saving",0674447506,"Duesenberry, James S.","Economics/Globalization/Culture and Consumption           "
2030,"The Culture-Ideology of Consumerism in the Third World",0801841860,"Sklair, Leslie","Economics/Globalization/Culture and Consumption           "
2031,"Supervision and High Wages as Competing Incentives: A Basis for Labor Segmentation Theory",0745003958,"Drago, Robert W.; Perlman, Richard","Economics/Growth, Allocation and Distribution/Labor and Employment/Wages           "
2032,"Sitcoms and Suburbs: Positioning the 1950s Homemaker",0816620520,"Haralovich, Mary Beth","Sociology/Family and Kinship/Gender, Work, and Family           "
2033,"The Third Shift",0805044701,"Hochschild, Arlie Russell","Economics/WellBeing/Work           "
2034,"Psychological, Cultural, and Informational Barriers to Sustainability",0022-4537,"Milbrath, Lester W.","Economics/Development/Sustainability/Policy, Politics and Theory           /           /Social Psychology/Applied Social Psychology/Environment and Sustainability"
