7000,"On Discourse and Dirty Nappies: Gender, the Division of Household Labour and the Social Psychology of Distributive Justice",0959-3543,"Dixon, John; Wetherell, Margaret","Social Psychology/Approaches to Social Psychology/Feminist Approaches           "
7001,"What is a Nation and Who Belongs? National Narratives and the Ethnic Imagination in Twentieth-Century Japan",0002-8762,"Doak, Kevin M.","History/Political History/Ideology and Regimes/Nationalism/National Identity           "
7002,"Brain Drain From Developing Countries: How Can Brain Drain be Converted Into Wisdom Gain?",0141-0768,"Dodani, S.; LaPorte, R. E.","History/World/Global History/Migration/Theory           "
7003,"Globalisation and Development",0029-7054,"Dohlman, Ebba; Halvorson-Quevedo, Raundi","Economics/Globalization/Globalization: Positive Development Impacts           "
7004,"The Politics of Religion in the Reconstruction of Identities: The Albanian Situation",0308-275X,"Doja, Albert","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
7005,"Spreading the Wealth",0015-7120,"Dollar, David; Kraay, Aart","Economics/Globalization/Inequality           /           /Political Science/International Relations/Poverty, Inequality, and Rights/Poverty and Global Inequality"
7006,"Size and Place in the Construction of Indigeneity in the Russian Federation",NO ISBN FOUND,"Donahoe, Brian; Habeck, Joachim Otto; Halemba, Agnieszka; Santha, Istvan","Anthropology/Social/Cultural Anthropology/Social Organization, Identity and Segregation           "
7007,"Human Rights: A New Standard of Civilization?",0020-5850,"Donnelly, Jack","Philosophy/Rights and Justice/Human Rights/Global Justice           "
7008,"Store Atmosphere: An Environmental Psychology Approach",0022-4359,"Donovan, R. J.; Rossiter, J. R.","Social Psychology/Applied Social Psychology/Environment and Sustainability           "
7009,"Creating Real Capital Markets in China",0273-3072,"Dorn, James A.","Economics/Economic Policy/Institutions/Capital Markets           "
7010,"Indigenous People and Environmental Politics",NO ISBN FOUND,"Dove, Micheal R.","Anthropology/Methods and Approaches/Other           "
7011,"Constructing Effective Environmental Regimes",NO ISBN FOUND,"Downs, Georg W.","Political Science/Public Policy/Resource Use and Environment           "
7012,"Union Attitudes to Labor-Saving Innovation: When Are Unions Luddites?",0734-306X,"Dowrick, Steve; Spencer, Barbara J.","Economics/Growth, Allocation and Distribution/Technology and Technical Change/LaborSaving Technologies           "
7013,"Globalization and the Health of the Poor",1011-6370,"Drager, Nick; Woodward, David; Beaglehole, Robert; Lipson, Debra","Economics/Globalization/Globalization and Human Capital           "
7014,"Migration Policy Objectives for European East-West International Migration",0020-7985,"Drbohlav, Dusan","History/World/Global History/Migration/Migration Policies           "
7015,"The Global Economy and the Nation-State",0015-7120,"Drucker, Peter F.","Political Science/Comparative Politics/Political Systems, Processes and Transition/Nationalism and Nation Building           /           /Political Science/Political Theory and Philosophy/Concepts/NationState"
