3000,"Gender Politics and the Contradictions of Nurturance: Moral Authority and Constraints to Action for Female Abortion Activists",0037-783X,"Ginsburg, Faye D.","Sociology/Political Sociology/Gender/Gender Identity           "
3001,"Beyond the Nation State",0037-783X,"Kis, Janos","Sociology/Political Sociology/Nationalism           "
3002,"The Pitfalls of Convergence Analysis: Is the Income Gap Really Widening?",1350-4851,"Cole, Matthew A.; Neumayer, Eric","Economics/Growth, Allocation and Distribution/Convergence/Divergence           "
3003,"The Nation and Nationalism in Germany",0037-783X,"Lepsius, M. Rainer","Sociology/Political Sociology/Nationalism           "
3004,"Social Categories and Claims in the Liberal State",0037-783X,"Starr, Paul","Sociology/Political Sociology/Social Stratification           "
3005,"Science and Citizenship under Post-socialism",0037-783X,"Petryna, Adriana","Sociology/Political Sociology/Theory of Political Sociology           "
3006,"Social Policy and the Transition",0037-783X,"Kapstein, Ethan B.","Sociology/Political Sociology/Transition Countries           "
3007,"Human Rights and Democracy: Expanding or Contracting",0032-3497,"Arat, Zehra F.","Sociology/Political Sociology/Democracy           /           /Political Science/Political Theory and Philosophy/Systems, Legitimacy and Law/Democracy"
3008,"Hearts and Minds: Bringing Symbolic Politics Back In",0032-3497,"Brysk, Alison","Sociology/Political Sociology/Social Movements/Theory           "
3009,"Turning the Tables: State and Society in South America's Economic Integration",0032-3497,"Cason, Jeffrey; Burrell, Jennifer","Sociology/Political Sociology/The State           "
3010,"Workers and Supervisors: St. Petersburg 1905-1917 and Shanghai 1895-1927",0031-2746,"Smith, Steve A.","Sociology/Political Sociology/Classes           "
3011,"A View from Elsewhere: Locating Difference and the Politics of Representation from a Transnational Feminist Perspective",1050-3293,"Hegde, Radha S.","Sociology/Political Sociology/Gender/Gender Identity           "
3012,"The Falun Gong in China: A Sociological Perspective",0305-7410,"Chan, Cheris Shun-ching","Sociology/Political Sociology/Social Movements/Theory           "
3013,"The Scientific Nature of Postprocessualism",0002-7316,"Vanpool, Christine S.; Vanpool, Todd L.","Anthropology/Methods and Approaches/Cognitive Approaches           "
3014,"Strengthening the Rights of Children and Women in Bolivia",1011-6370,"Ardaya, Nancy Salinas; Schachinger, Claudia","Sociology/Political Sociology/Human Rights           "
