8000,"Turning the Tables: Language and Spatial Reasoning",0010-0277,"Li, Peggy; Gleitman, Lila","Anthropology/Language and Society/Knowledge and Discourse           "
8001,"Harnessing the Private Sector for Rural Development, Poverty Alleviation and HIV/AIDS Prevention",NO ISBN FOUND,"Lim, Steven","Economics/Development/Poverty and Inequality/Basic Needs           "
8002,"The Transformation of the Japanese Employment System: Nature, Depth, and Origins",0730-8884,"Lincoln, James R.; Nakata, Yoshifumi","Economics/Growth, Allocation and Distribution/Labor and Employment/Theory and Practice           "
8003,"Beyond Efficiency and Economy: An Examination of Basic Needs and Fiscal Decentralization",0013-0079,"Lindaman, Kara; Thurmaier, Kurt","Economics/WellBeing/Government and WellBeing           "
8004,"Kuru, Prions, and Human Affairs: Thinking About Epidemics",NO ISBN FOUND,"Lindenbaum, Shirley","Anthropology/Social/Cultural Anthropology/Health and Medical Anthropology           "
8005,"Communicating the Right to Development: Towards Human Rights-Based Communication Policies in Third World Countries",0016-5492,"Linden, Ank","Economics/Development/Poverty and Inequality/Rights and Justice           "
8006,"Toward a New Conception of the Environment-Competitiveness Relationship",0895-3309,"Porter, Michael E.; Van Der Linde, Claas","Economics/Development/Sustainability/Growth vs. Development           "
8007,"Conflict-induced migration and remittances: exploring conceptual frameworks",NO ISBN FOUND,"Lindley, Anna","Anthropology/Social/Cultural Anthropology/Migration, Displacement, and Resettlement           "
8008,"Equity and Discounting in Climate-Change Decisions",0915707950,"Lind, Robert C.; Schuler, Richard E.","Economics/Economic Policy/Environment/Energy and Climate Change           "
8009,"Ethnolinguistic Racism: The Predicaments of Sovereignty and Nationhood Under Global Capitalism",1463-4996,"Linke, Uli","Anthropology/Language and Society/Race           "
8010,"Development Strategy, Viability, and Economic Convergence",0013-0079,"Lin, Justin Yifu","Economics/Economic Policy/Development Policy           "
8011,"Green Politics in Progress: Germany",0144-333X,"Lippelt, Helmut","Sociology/Political Sociology/Social Movements/Environment           "
8012,"Poverty in Kagera, Tanzania: Characteristics, Causes and Constraints",NO ISBN FOUND,"Litchfield, Julie","Economics/Development/Poverty and Inequality/Basic Needs           "
8013,"A Different Kind of Justice: Dealing with Human Rights Violations in Transitional Societies",0892-6794,"Little, David","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           "
8014,"Environments and Environmentalisms in Anthropological Research: Facing a New Millennium",0084-6570,"Little, Paul E.","Anthropology/Methods and Approaches/Ecological Approaches           "
8015,"Common Origins / Different Identities in Two Kaqchikel Maya Towns",0091-7710,"Little, Walter E.","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
8016,"Challenging Orthodoxies: Understanding Poverty in Pastoral Areas of East Africa",NO ISBN FOUND,"Little, Peter D.","Anthropology/Social/Cultural Anthropology/Subsistence and Economic Practices, Organization, and Structure/Wealth and Poverty           /           /Economics/Development/Poverty and Inequality/Alleviation of Poverty  Programs and Policies"
8017,"Income Security in Transition for the Aged and Children in the Soviet Union and in the Russian Federation",0037-7910,"Liu, Lillian","Economics/Economic Policy/Governance and Forms of Governments           "
8018,"Genetics, Ecology and the Origins of Incest and Exogamy",0011-3204,"Livingstone, Frank B.","Anthropology/Biological/Physical Anthropology/Human Evolution/Anthropogenesis Evolutionary Theory           "
8019,"Marshall Sahlins and the Apotheosis of Culture",1532-687X,"Li, Victor","Anthropology/Methods and Approaches/Cultural Particularism, Universalism, and Relativism           "
